@JohnRenfro2016 Do you think it could be a 4th round of covid?,,en
"RT @USUMLPress: Our monopoly-capitalist rulers, reeling from repeated crises, want to redirect our outrage to the governments of foreign “e…",,en
just did the birth chart for this day... covid is a Sag with a Capricorn moon and Venus im literally covid goodbye 😭😭😭 https://t.co/AsDmkW8e9B,,en
"RT @Staunch_NaMo: Riots reported in city of Guangzhou, China against Xi's Covid Dicktat of forced Isolation.
Now give it a thought,  How @n…",,en
RT @BNOFeed: COVID-19 pandemic enters 4th year https://t.co/V8BuBk6epY,,en
"RT @CassyOConnorMP: The Covid gaslighting continues. 

As our letter makes clear, both Public Health advice and Parliament’s Covid Safety p…",,en
"RT @scrowder: Now that Twitter stopped enforcing its COVID ""misinformation"" policies, I can finally tell you that the vaccine doesn't work,…",,en
RT @SarahLerner: Haven’t stopped thinking about this: “The average American would not know that we get fired for going to the doctor…We hav…,,en
"RT @philippeherlin: ⚠️SCANDALE : @france_soir n'est plus reconnu comme un service de presse par la CPPAP, et perd les avantages fiscaux aff…",,fr
"RT @RepThomasMassie: You should have resigned a year ago over the misleading and false COVID vaccine claims you made, but the indefensible…",,en
"RT @OzraeliAvi: #BREAKING: Police in China fire on unarmed civilians protesting harsh Covid lockdowns.

Oh wait, that’s Melbourne.

Carry o…",,en
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
"RT @AFP: China signals possible relaxing of strict zero-tolerance Covid policy, after nationwide protests calling for an end to lockdowns a…",,en
RT @BrooksKTVU: Twitter drops #COVID misinformation policy as hospitalizations rise https://t.co/n0kWE5pUVW,,fr
I was made aware it’s because Fuma had covid :( https://t.co/szY5rcqVel,,en
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
"RT @RT_India_news: Protestors in China Turn to Telegram, Dating Apps to Defy Authorities (reports)

Opponents of Beijing’s anti-Covid measu…",,en
