,0,predicted
0,@JohnRenfro2016 Do you think it could be a 4th round of covid?,0
1,"RT @USUMLPress: Our monopoly-capitalist rulers, reeling from repeated crises, want to redirect our outrage to the governments of foreign “e…",-1
2,just did the birth chart for this day... covid is a Sag with a Capricorn moon and Venus im literally covid goodbye 😭😭😭 https://t.co/AsDmkW8e9B,-1
3,"RT @Staunch_NaMo: Riots reported in city of Guangzhou, China against Xi's Covid Dicktat of forced Isolation.
Now give it a thought,  How @n…",-1
4,RT @BNOFeed: COVID-19 pandemic enters 4th year https://t.co/V8BuBk6epY,-1
5,"RT @CassyOConnorMP: The Covid gaslighting continues. 

As our letter makes clear, both Public Health advice and Parliament’s Covid Safety p…",-1
6,"RT @scrowder: Now that Twitter stopped enforcing its COVID ""misinformation"" policies, I can finally tell you that the vaccine doesn't work,…",-1
7,RT @SarahLerner: Haven’t stopped thinking about this: “The average American would not know that we get fired for going to the doctor…We hav…,-1
8,"RT @philippeherlin: ⚠️SCANDALE : @france_soir n'est plus reconnu comme un service de presse par la CPPAP, et perd les avantages fiscaux aff…",0
9,"RT @RepThomasMassie: You should have resigned a year ago over the misleading and false COVID vaccine claims you made, but the indefensible…",-1
10,"RT @OzraeliAvi: #BREAKING: Police in China fire on unarmed civilians protesting harsh Covid lockdowns.

Oh wait, that’s Melbourne.

Carry o…",-1
11,"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",-1
12,"RT @AFP: China signals possible relaxing of strict zero-tolerance Covid policy, after nationwide protests calling for an end to lockdowns a…",0
13,RT @BrooksKTVU: Twitter drops #COVID misinformation policy as hospitalizations rise https://t.co/n0kWE5pUVW,-1
14,I was made aware it’s because Fuma had covid :( https://t.co/szY5rcqVel,0
15,"RT @RT_India_news: Protestors in China Turn to Telegram, Dating Apps to Defy Authorities (reports)

Opponents of Beijing’s anti-Covid measu…",-1
16,@elitetakes_ covid year for nfl and nba was very weird,-1
17,@BillClinton Get vaxxed &amp; Covid!,0
18,"@Annydesigns Hasta hace nada los médicos de TV reclamaban q no traían la nueva generación de vacunas y q las q estaban habían quedado obsoletas, hoy me desayuno con los mismos pidiendo q por favor se vacunen con estas vacunas
🤯
Hace un mes todo el mundo enfermo fuerte y ni nombraban el Covid",0
19,I’ve been wanting to go back for a while now but they were on that COVID restrictions bs. 🥴 https://t.co/eBlDwITFd0,-1
20,RT @Stillgoing1972: @NotaliaMateo @NototyrannyNOW Scam in 2020 there was only 6 deaths from influenza when there is usually over 30000 they…,-1
21,"Beltway Insider: Biden/Thanksgiving, VP, Russia/Ukraine, Italy, China, COVID/Vaccine Totals, Idaho Murders https://t.co/iF0A7OkvxN",-1
22,"RT @michaelharriot: Everybody else: “pre-pandemic”

Black folks: “Fo’ COVID hit”",0
23,"RT @Dog4Running: Asymptomatic Covid = false positive Covid test.

See how easy that was?",0
24,RT @Jima_Sofia: Vamos a fingir demencia frente a esta nueva ola de Covid no? estamos todos de acuerdo?,0
25,RT @RustBeltRebel: Loooool the same people that think covid shots inject you with microchips are like yay we love brain implants!!!!,0
26,"RT @naoyafujiwara: すでに停止されたツイッターのコロナ検閲の実態。

コロナが始まった20年1月以来、1,172万件の警告が出され、11,230件のアカウントが閉鎖され、97,674件の書き込みが削除された

https://t.co/y65zZ7YqgS h…",0
27,"RT @renatajbarreto: Quando virem as atrocidades cometidas na China em nome da política de Covid Zero, lembrem-se disso aqui. https://t.co/d…",0
28,"RT @Expresoec: Según el informe de la Mesa Técnica de Salud del COE Cantonal de Guayaquil, en el Puerto Principal se registran ya más de 1.…",0
29,@berner_gayle @catturd2 I prefer living vs dying or suffering from Long Covid,-1
30,"RT @Robber_Baron_: Actual Covid misinformation:
 👕 Old t-shirts make good masks
 ⛳️ Playing golf spreads Covid
 🛝 Playgrounds are dangerous…",-1
31,RT @MarshaBlackburn: The federal government has no business firing the men and women who chose not to get the COVID shot but chose to prote…,-1
32,"RT @Dakota_150: ""Why long Covid could cost the U.S. nearly $4 trillion""

Long Covid is not just changing the lives of those affected, but p…",-1
33,RT @N76247476Man: Why is Bill Clinton telling anyone he has Covid-19? The guy is a rapist and a child molester. I do not give a fuck about…,-1
34,RT @verity_france: Twitter confirme ne plus filtrer les fausses informations sur le Covid-19/ nous allons enfin pouvoir avoir de vraies inf…,0
35,"RT @faidha_kambwili: The time is now, we should act now. Africa community is ours let's fight COVID-19 and protect Africa

#shootyourshot #…",0
36,"RT @DrEliDavid: Covid vaccine effectiveness countdown 🤣🤡

🔊 Sound On

https://t.co/q773EKxikl",0
37,RT @manuelrico: Hoy hace 987 días que el Gobierno Ayuso aprobó el Protocolo que impedía trasladar al hospital a los residentes más vulnerab…,0
38,@JennyBlighe Oh no!! Covid?,-1
39,"RT @johnrackham82: Christians aren't hard to deal with, they are just hard to fool. 

This is why Christians know COVID, climate change and…",-1
40,RT @JanJekielek: #ChinaProtests: “These are the most significant protests since '89…a boiling over of not just frustration at the very drac…,0
41,RT @doctormacias: Se incrementa abruptamente la tasa de positividad de covid en la península de Yucatán. Parecen predominar BQ.1 y BW.1 (es…,0
42,RT @BlackKnight10k: Imagine trashing the vaccines for 2 years and ending up in the hospital with covid like Diamond,-1
43,"RT @sav_says_: Remember when COVID cultists equated the unvaccinated to suicide bombers and called for us to be arrested, jailed and banned…",-1
44,"RT @KitemuoT: La Corte Costituzionale, chiamata a giudicare la costituzionalità dell'obbligo vaccinale Covid, è composta da membri che indo…",0
45,RT @Kaushik43390984: Sir #RPF_Vacancy Me #Age_Relaxation Plz Dijiye Nahi To Bohot #RPF_Aspirants Ka #Dream Khatam Ho Jayenge Jo #Covid_Situ…,0
46,"RT @kimguilfoyle: President Trump imposed tariffs on China, withdrew from the pro-China WHO, and sanctioned communist officials.

Joe Biden…",-1
47,"RT @GrahamAllen_1: The US Military should drop the COVID Vaccine Mandates NOW! 

Bring back everyone wrongfully kicked out with Back Pay, E…",-1
48,"RT @Liz_Wheeler: This is OUTSTANDING. Now that Twitter stopped censoring the truth about COVID, watch thisssss

 https://t.co/2ZWlRUS4fc",1
49,"https://t.co/0gMsLxSTVv
£4.5bn lost to fraud in three COVID schemes as Rishi Sunak's Eat Out to Help Out scheme recorded 9.5% rate of fraud, HMRC says https://t.co/CicuDSNxKq",-1
50,"RT @fengyunshe: 抗议蔓延，广州和重庆放松清零限制
中国大城市广州和重庆周三宣布放宽COVID限制，重庆将允许符合某些条件的COVID-19患者的密切接触者在家隔离，此前一天广州南部的示威者在一系列抗议世界上最严格的限制的抗议中与警方发生冲突。https://t.…",0
51,COVID-19 taught us many lessons..one such is that access to internet and ICT tools can drive or derail our development efforts. Can’t wait for @UNDPJamaica to share deets on how we’re supporting 17 underserved communities in bridging the digital divide 🙌🏿 https://t.co/YvAod3GyE6,0
52,"1
14,399 new COVID cases reported in Tokyo on Wednesday | NHK WORLD-JAPAN News https://t.co/1iCp4R0bks",0
53,RT @Creshna1: @ImaniDH_ It really is a lot like Covid. One person may get it and die. Another may cough for 2 days and be fine. So it’s bes…,-1
54,RT @eduardomenoni: 🚨NUEVO - Protestas contra el confinamiento cero Covid de China en Guangzhou.  Ni los chinos se creen esta farsa de la pl…,0
55,"RT @OiOi1664: Scientifiquement ça serait les vaccins qui aurait sauvés les gens atteints du Covid ! 

Mais scientifiquement, qu’est-ce qui…",0
56,"RT @VIAwesome: Is that cough just a cold, or is it COVID-19? Does my child have strep or just a sore throat?  https://t.co/D4OYmi5u2X",-1
57,"RT @BillClinton: I’ve tested positive for Covid. I’ve had mild symptoms, but I’m doing fine overall and keeping myself busy at home.
 
I’m…",1
58,"RT @ProdigalThe3rd: Moderna’s COVID-19 vaccine animal trial study showed a 295% increase in abnormal ribs (e.g. wavy, nodules) in offspring…",0
59,@DFarstveet @kylenabecker You must be living with your head extra far up your ass...how come the vaccinated now make up the vaaast majority of covid deaths now...,-1
60,RT @santiagomayer_: COVID-19 was created in a Tesla lab,-1
61,"RT @SamAntar: Yes, @MarkLevineNYC. Here is a painful reminder that you encouraged Asian Americans to a attend a mass maskless public gather…",-1
62,RT @mehdirhasan: So let me get this straight: the same folks who crazily believed the Covid vaccine was an attempt by Bill Gates to put mic…,-1
63,RT @MarkLevineNYC: One of Musk’s most consequential twitter policy changes has been to allow dangerous public health messaging to spread li…,-1
64,"RT @ABerman333: Yes.
If they are too Republican to get a COVID vaccine shot, they don't have to to be in the military. We don't need rebels…",0
65,"RT @catturd2: Imagine getting 5 vaccines in a year, catching COVID, then bragging about how great the vaccine is. 😂",0
66,"RT @brixwe: Thomas Renz: We have incentivized the murder of patients rather than incentivize treatment...When you get admitted for COVID, t…",-1
