verified,hour_created,geo_enabled,default_profile,default_profile_image,favourites_count,followers_count,friends_count,statuses_count,average_tweets_per_day,network,tweet_to_followers,follower_acq_rate,friends_acq_rate,prediction
False,5,False,True,False,1166,27,284,773,5481.0,18.835,22.164,8.463,8.516,0
False,17,False,False,False,477,972,275,10508,15390.0,38.671,63.712,8.675,8.548,1
False,8,False,True,False,5047,6299,2439,11775,14856.0,68.235,82.005,9.146,8.616,1
False,21,True,True,False,14142,176,167,6571,8902.0,26.522,45.501,7.827,7.824,0
True,18,False,False,False,4286,50182,5,50212,55644.0,19.393,117.153,10.926,8.601,1
False,21,True,False,False,902,15883,497,76986,82043.0,60.076,108.835,9.949,8.622,1
False,16,False,True,False,0,50,73,61,112.0,16.923,16.227,4.625,4.828,1
False,9,False,False,False,213064,50874,10379,131973,137066.0,100.218,127.774,10.933,9.647,1
False,23,False,True,False,10455,45,138,1056,1118.0,18.892,26.66,4.682,5.303,0
False,15,False,True,False,17,4,21,61,391.0,4.975,6.642,5.814,5.864,0
False,8,False,True,False,2072,429,445,92783,93997.0,36.991,69.358,7.405,7.415,1
False,22,False,True,False,70775,1424,2186,41322,43426.0,55.846,77.188,8.169,8.364,1
False,1,False,False,False,6358,880,699,2792,4201.0,44.423,53.807,7.736,7.654,0
True,20,True,False,False,14210,49721,6526,33700,38735.0,94.989,112.741,10.911,9.355,0
False,13,False,True,False,1655,33,137,930,1584.0,17.375,24.107,6.534,6.675,0
False,22,True,False,False,1754,12310,1611,10501,15229.0,69.556,87.207,9.743,8.755,1
False,17,False,True,False,247,45,159,232,283.0,19.431,20.87,4.575,5.352,0
False,0,False,False,False,2195,1469,2450,5490,10397.0,56.917,62.799,8.76,8.904,1
False,17,False,True,False,39126,821,682,25651,26455.0,43.804,68.14,7.394,7.305,0
False,18,False,False,False,1141,5656,2422,10477,14832.0,67.335,79.987,9.212,8.821,1
False,12,False,False,False,23,84,447,171,5354.0,27.121,22.869,8.569,8.636,1
False,22,False,True,False,115,867,335,306,1354.0,39.36,38.749,7.558,7.233,1
True,12,True,False,False,3947,76502,822,42910,48107.0,75.488,119.95,11.311,8.703,0
